,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat
0,3,7,1180,0,1955-01-01,1970-01-01,98178,47.5112
1,3,7,2170,400,1951-01-01,1991-01-01,98125,47.721
2,3,6,770,0,1933-01-01,1970-01-01,98028,47.7379
3,5,7,1050,910,1965-01-01,1970-01-01,98136,47.5208
4,3,8,1680,0,1987-01-01,1970-01-01,98074,47.6168
5,3,11,3890,1530,2001-01-01,1970-01-01,98053,47.6561
6,3,7,1715,0,1995-01-01,1970-01-01,98003,47.3097
7,3,7,1060,0,1963-01-01,1970-01-01,98198,47.4095
8,3,7,1050,730,1960-01-01,1970-01-01,98146,47.5123
9,3,7,1890,0,2003-01-01,1970-01-01,98038,47.3684
10,3,8,1860,1700,1965-01-01,1970-01-01,98007,47.6007
11,4,7,860,300,1942-01-01,1970-01-01,98115,47.69
12,4,7,1430,0,1927-01-01,1970-01-01,98028,47.7558
13,4,7,1370,0,1977-01-01,1970-01-01,98074,47.6127
14,3,7,1810,0,1900-01-01,1970-01-01,98107,47.67
15,3,9,1980,970,1979-01-01,1970-01-01,98126,47.5714
16,3,7,1890,0,1994-01-01,1970-01-01,98019,47.7277
17,4,7,1600,0,1916-01-01,1970-01-01,98103,47.6648
18,4,7,1200,0,1921-01-01,1970-01-01,98002,47.3089
19,4,7,1250,0,1969-01-01,1970-01-01,98003,47.3343
20,4,7,860,760,1947-01-01,1970-01-01,98133,47.7025
21,3,9,2330,720,1968-01-01,1970-01-01,98040,47.5316
22,3,8,2270,0,1995-01-01,1970-01-01,98092,47.3266
23,3,7,1070,0,1985-01-01,1970-01-01,98030,47.3533
24,4,8,2450,0,1985-01-01,1970-01-01,98030,47.3739
25,5,6,1710,0,1941-01-01,1970-01-01,98002,47.3048
26,3,8,1750,700,1915-01-01,1970-01-01,98119,47.6386
27,5,8,1400,0,1909-01-01,1970-01-01,98112,47.6221
28,3,7,790,730,1948-01-01,1970-01-01,98115,47.695
29,3,8,2570,0,2005-01-01,1970-01-01,98052,47.7073
30,3,8,2320,0,2003-01-01,1970-01-01,98027,47.5391
31,3,7,1190,0,2005-01-01,1970-01-01,98133,47.7274
32,4,7,1510,820,1929-01-01,1970-01-01,98117,47.6823
33,4,8,1090,0,1929-01-01,1970-01-01,98117,47.6889
34,3,7,1280,780,1981-01-01,1970-01-01,98058,47.4276
35,3,8,1510,790,1930-01-01,2002-01-01,98115,47.6827
36,1,5,930,730,1933-01-01,1970-01-01,98052,47.6621
37,4,8,2360,0,1904-01-01,1970-01-01,98107,47.6702
38,2,7,890,330,1969-01-01,1970-01-01,98001,47.3341
39,3,8,2620,0,1996-01-01,1970-01-01,98056,47.5301
40,3,9,2570,0,2000-01-01,1970-01-01,98074,47.6145
41,3,8,2600,1620,1984-01-01,1970-01-01,98166,47.445
42,3,9,3595,0,2014-01-01,1970-01-01,98053,47.6848
43,3,7,1570,0,1922-01-01,1970-01-01,98119,47.6413
44,4,6,920,360,1959-01-01,1970-01-01,98058,47.4485
45,3,8,3160,0,2003-01-01,1970-01-01,98019,47.7443
46,3,6,990,0,1966-01-01,1970-01-01,98023,47.3066
47,4,9,2290,0,1981-01-01,1970-01-01,98007,47.6194
48,4,7,1250,0,1953-01-01,1970-01-01,98115,47.6796
49,5,9,2165,588,1953-01-01,1970-01-01,98070,47.4041
50,3,7,1190,0,1955-01-01,1970-01-01,98148,47.4258
51,4,8,1640,1510,1966-01-01,1970-01-01,98056,47.4934
52,4,7,1000,410,1950-01-01,1970-01-01,98117,47.6808
53,3,7,990,990,1981-01-01,1970-01-01,98117,47.6989
54,3,8,2130,600,1927-01-01,1970-01-01,98105,47.6571
55,3,9,2830,0,1995-01-01,1970-01-01,98105,47.6597
56,3,7,2250,0,2008-01-01,1970-01-01,98042,47.3663
57,3,8,2420,0,2003-01-01,1970-01-01,98042,47.3663
58,4,8,3250,0,1968-01-01,1970-01-01,98008,47.588
59,3,8,1850,0,1991-01-01,1970-01-01,98059,47.5059
60,4,8,1590,560,1959-01-01,1970-01-01,98166,47.4336
61,3,7,1260,0,1954-01-01,1970-01-01,98148,47.4366
62,5,8,2519,0,1973-01-01,1970-01-01,98166,47.4428
